name surname,position,fg_pct,fg3_pct,fg2_pct,ft_pct,rebounds,asists,points_per_game
Paul Thompson,SF,0.8,0.17,0.43,0.8,3.16,1.44,8.62
Sedale Threatt,PG,0.8,0.23,0.49,0.8,1.67,3.43,8.91
Granville Waiters,C,0.38,0.0,0.41,0.38,1.92,0.4,2.02
Darrell Walker,PG,0.64,0.03,0.41,0.64,3.75,3.81,7.26
Brant Weidner,PF,1.0,0.0,0.22,1.0,1.4,0.0,1.0
Mark West,C,0.56,0.0,0.51,0.56,4.37,0.38,5.26
Ennis Whatley,PG,0.59,0.03,0.46,0.59,1.33,2.73,3.69
Mitchell Wiggins,SG,0.74,0.1,0.45,0.74,3.22,1.58,9.85
Kevin Williams,SG,0.79,0.07,0.44,0.79,1.4,1.39,4.41
Michael Wilson,PG,0.67,0.0,0.29,0.67,0.91,1.23,2.56
Randy Wittman,SG,0.7,0.3,0.48,0.7,1.27,1.93,6.19
Chuck Aleksinas,C,0.73,0.0,0.48,0.73,3.6,0.5,5.1
Ron Anderson,SF,0.8,0.21,0.48,0.8,3.14,1.27,8.71
Ken Bannister,PF,0.48,0.0,0.52,0.48,3.38,0.38,6.0
Cory Blackwell,SF,0.51,0.0,0.37,0.51,1.6,0.4,3.4
Sam Bowie,C,0.73,0.23,0.46,0.73,7.15,2.06,11.16
Frank Brickowski,C,0.74,0.16,0.51,0.74,4.26,1.72,9.06
Tony Brown,SF,0.69,0.28,0.44,0.69,1.56,1.0,4.31
Steve Burtt,SG,0.72,0.12,0.43,0.72,0.98,1.45,6.62
Michael Cage,PF,0.64,0.0,0.52,0.64,7.43,0.9,7.03
Tony Campbell,SF,0.77,0.23,0.47,0.77,2.88,1.35,10.41
Rick Carlisle,SG,0.64,0.13,0.39,0.64,0.56,1.02,1.9
Antoine Carr,PF,0.77,0.08,0.5,0.77,3.3,1.06,8.92
Ron Cavenall,C,0.48,0.0,0.5,0.48,1.75,0.2,1.35
Steve Colter,PG,0.77,0.23,0.45,0.77,1.88,2.85,5.83
Devin Durrant,SF,0.48,0.0,0.4,0.48,2.05,1.35,4.7
Kenton Edelin,SF,0.38,0.0,0.31,0.38,2.6,1.0,1.1
Kenny Fields,SF,0.67,0.08,0.51,0.67,2.53,1.02,6.3
Vern Fleming,PG,0.76,0.13,0.5,0.76,3.28,4.67,11.06
Lancaster Gordon,SG,0.82,0.19,0.39,0.82,1.1,1.33,5.08
Butch Graves,SG,0.2,0.0,0.4,0.2,0.5,0.3,1.3
Stuart Gray,C,0.72,0.0,0.42,0.72,2.36,0.31,2.08
Michael Holton,SG,0.71,0.15,0.44,0.71,1.16,2.46,5.46
Jay Humphries,SG,0.68,0.26,0.45,0.68,2.15,4.59,8.83
Ralph Jackson,PG,0.0,0.0,0.33,0.0,1.0,4.0,2.0
Charles Jones,C,0.59,0.08,0.47,0.59,3.42,0.85,4.28
Earl Jones,C,0.38,0.0,0.21,0.38,0.4,0.15,0.55
Ozell Jones,C,0.2,0.0,0.3,0.2,2.15,0.4,1.85
Jerome Kersey,SF,0.66,0.15,0.46,0.66,5.19,1.76,9.59
Tim McCormick,C,0.68,0.05,0.5,0.68,4.68,1.02,7.81
Jay Murphy,PF,0.64,0.0,0.33,0.64,1.65,0.18,2.42
Sam Perkins,PF,0.81,0.32,0.47,0.81,5.95,1.53,11.87
Jim Petersen,PF,0.72,0.05,0.48,0.72,4.41,0.86,6.24
Gary Plummer,PF,0.72,0.12,0.43,0.72,2.45,0.55,4.25
David Pope,SF,0.52,0.5,0.37,0.52,0.9,0.3,1.9
Alvin Robertson,SG,0.72,0.29,0.5,0.72,5.0,4.83,13.1
Wayne Sappleton,PF,0.41,0.0,0.47,0.41,2.3,0.2,2.9
Tom Scheffler,C,0.5,0.0,0.41,0.5,1.9,0.3,1.3
John Schweitz,SG,0.35,0.0,0.18,0.35,0.7,0.45,1.5
Tom Sewell,SG,0.5,0.0,0.27,0.5,0.2,0.3,1.0
Charlie Sitton,SF,0.52,0.0,0.42,0.52,1.4,0.6,2.1
Tom Sluby,SG,0.62,0.0,0.54,0.62,0.4,0.5,2.4
Terence Stansbury,SG,0.75,0.24,0.46,0.75,1.3,1.93,5.93
Peter Thibeaux,SF,0.62,0.2,0.46,0.62,1.6,0.5,5.0
Bernard Thompson,SF,0.79,0.0,0.42,0.79,1.64,1.18,4.86
Otis Thorpe,PF,0.67,0.02,0.54,0.67,7.87,2.12,13.08
Jeff Turner,PF,0.8,0.23,0.46,0.8,3.2,0.97,5.72
Melvin Turpin,C,0.76,0.07,0.51,0.76,4.48,0.52,8.2
Willie White,SG,0.75,0.32,0.44,0.75,0.95,0.95,3.65
Eddie Lee Wilkins,C,0.56,0.0,0.48,0.56,3.17,0.2,5.05
Dale Wilkinson,SF-PF,0.57,0.0,0.19,0.57,0.37,0.13,0.87
Guy Williams,SF,0.45,0.12,0.44,0.45,1.25,0.2,2.15
Kevin Willis,PF,0.72,0.14,0.47,0.72,8.17,0.87,11.53
Othell Wilson,PG,0.75,0.18,0.47,0.75,1.65,3.4,4.2
Leon Wood,PG,0.81,0.34,0.46,0.81,1.07,2.87,6.23
Danny Young,PG,0.78,0.3,0.47,0.78,1.13,2.52,4.12
Michael Young,SF,0.24,0.1,0.3,0.24,0.97,0.17,2.3
Michael Adams,PG,0.82,0.3,0.47,0.82,2.49,5.72,12.79
John Battle,SG,0.78,0.21,0.46,0.78,1.24,1.95,8.13
Benoit Benjamin,C,0.64,0.02,0.47,0.64,6.33,1.04,9.44
Uwe Blab,C,0.59,0.0,0.44,0.59,1.74,0.4,2.1
Manute Bol,C,0.35,0.11,0.37,0.35,3.18,0.22,1.99
Mike Brittain,C,0.51,0.0,0.48,0.51,1.1,0.25,1.6
Terry Catledge,PF,0.66,0.06,0.49,0.66,6.03,0.81,11.92
Lorenzo Charles,SF,0.67,0.0,0.56,0.67,1.1,0.2,3.4
Fred Cofield,PG,0.3,0.1,0.31,0.3,1.0,1.3,2.25
David Cooke,PF,0.5,0.0,0.18,0.5,1.7,0.2,1.5
Tyrone Corbin,SF,0.78,0.15,0.45,0.78,4.27,1.6,8.12
Ron Crevier,C,0.0,0.0,0.0,0.0,0.27,0.0,0.0
Jeff Cross,PF,0.56,0.0,0.25,0.56,1.4,0.0,1.2
Georgi Glouchkov,PF,0.57,1.0,0.4,0.57,3.3,0.7,4.9
A.C. Green,PF,0.71,0.15,0.5,0.71,7.33,1.05,9.23
Ken Green,PF,0.56,0.0,0.48,0.56,3.9,0.3,4.4
Kenny Green,SF,0.72,0.0,0.42,0.72,1.73,0.28,4.55
Claude Gregory,PF,0.17,0.0,0.48,0.17,2.55,0.35,3.4
Steve Harris,SG,0.86,0.03,0.4,0.86,1.54,0.96,5.94
Jerome Henderson,C,0.5,0.0,0.49,0.5,1.1,0.0,3.0
Carl Henry,SG,0.71,0.4,0.47,0.71,0.7,0.1,2.8
Alfredrick Hughes,SG,0.58,0.18,0.42,0.58,1.7,0.9,5.2
Ken Johnson,PF,0.43,0.0,0.53,0.43,3.8,0.3,4.1
Yvon Joseph,C,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Harold Keeling,SG,0.71,0.0,0.44,0.71,0.3,0.5,2.2
Joe Kleine,C,0.8,0.17,0.43,0.8,3.73,0.62,4.28
Jon Koncak,C,0.59,0.11,0.48,0.59,4.93,0.96,4.44
Keith Lee,PF,0.75,0.07,0.45,0.75,4.77,0.97,6.1
Bill Martin,SF,0.78,0.0,0.39,0.78,1.7,0.47,4.03
Brian Martin,SF-PF,0.0,0.0,0.44,0.0,0.6,0.0,0.77
Dwayne McClain,SF,0.51,0.11,0.4,0.51,0.7,1.5,3.5
Xavier McDaniel,SF,0.71,0.19,0.47,0.71,5.86,1.99,15.14
Ben McDonald,SF,0.66,0.1,0.53,0.66,2.48,0.98,4.83
Chris McNealy,PF,0.66,0.0,0.43,0.66,4.67,1.13,4.37
Dirk Minniefield,PG,0.66,0.23,0.48,0.66,1.57,3.5,5.04
Perry Moss,PG,0.73,0.19,0.43,0.73,1.68,1.5,4.15
Charles Oakley,PF,0.78,0.14,0.47,0.78,8.83,2.38,9.04
Michael Phelps,SG,0.68,0.06,0.43,0.68,1.03,1.2,3.83
Ed Pinckney,SF,0.78,0.0,0.52,0.78,5.15,0.91,6.89
Terry Porter,PG,0.82,0.37,0.48,0.82,2.99,5.45,12.01
Blair Rasmussen,C,0.76,0.12,0.45,0.76,5.24,0.78,8.76
Jerry Reynolds,SF,0.72,0.26,0.43,0.72,2.79,1.91,8.38
Derrick Rowland,SG,0.5,0.0,0.33,0.5,0.5,0.5,1.5
Detlef Schrempf,SF,0.8,0.34,0.49,0.8,5.99,3.24,13.3
Carey Scurry,SF,0.54,0.23,0.49,0.54,2.42,1.08,3.84
Mike Smrek,C,0.46,0.0,0.36,0.46,1.88,0.22,2.14
Alex Stivrins,SF,0.29,0.0,0.38,0.29,0.97,0.22,1.78
Greg Stokes,PF,0.83,0.0,0.29,0.83,1.15,0.25,2.25
Bob Thornton,PF,0.64,0.07,0.37,0.64,2.05,0.27,2.46
Wayman Tisdale,PF,0.75,0.0,0.5,0.75,6.29,1.34,15.57
Sedric Toney,PG,0.74,0.24,0.38,0.74,1.03,1.63,3.56
Nick Vanos,C,0.5,0.0,0.37,0.5,4.35,1.15,3.9
Sam Vincent,SG,0.87,0.2,0.45,0.87,2.09,4.18,7.98
Spud Webb,PG,0.86,0.23,0.47,0.86,1.94,4.94,9.09
Bill Wennington,C,0.8,0.22,0.45,0.8,2.79,0.53,4.18
Gerald Wilkins,SG,0.77,0.28,0.43,0.77,2.7,2.76,11.75
Pete Williams,PF,0.21,0.0,0.55,0.21,1.5,0.25,1.6
Voise Winters,SF,0.0,0.0,0.25,0.0,0.8,0.0,1.5
Rafael Addison,SF,0.78,0.25,0.46,0.78,1.95,0.87,5.42
Mark Alarie,PF,0.78,0.25,0.49,0.78,3.32,1.1,7.22
William Bedford,C,0.57,0.26,0.41,0.57,2.13,0.37,3.65
Walter Berry,SF-PF,0.71,0.14,0.56,0.71,4.06,1.2,11.33
Joe Binion,PF,0.6,0.0,0.4,0.6,1.6,0.1,1.3
Adrian Branch,SF,0.75,0.36,0.45,0.75,1.97,0.65,6.07
Mike Brown,C,0.64,0.05,0.45,0.64,4.15,0.64,4.35
Ben Coleman,C,0.73,0.0,0.51,0.73,4.24,0.59,6.7
Dell Curry,SG,0.84,0.39,0.47,0.84,2.34,1.69,11.44
Brad Daugherty,C,0.75,0.1,0.53,0.75,9.56,3.65,18.8
Johnny Dawkins,PG,0.87,0.28,0.49,0.87,2.67,5.74,11.6
Bruce Douglas,SG,0.0,0.0,0.3,0.0,1.8,2.1,1.8
Greg Dreiling,C,0.66,0.3,0.45,0.66,1.98,0.37,2.01
Kevin Duckworth,C,0.69,0.07,0.44,0.69,4.75,0.72,9.22
Dave Feitl,C,0.77,0.0,0.43,0.77,2.78,0.44,4.04
Kenny Gattison,PF,0.62,0.11,0.46,0.62,4.11,0.76,7.0
Grant Gondrezick,SG,0.68,0.25,0.44,0.68,1.5,1.3,4.7
Ron Harper,SG,0.72,0.27,0.47,0.72,4.56,4.16,15.01
Cedric Henderson,PF,1.0,0.0,0.52,1.0,1.33,0.0,1.73
Kevin Henderson,PG,0.68,0.0,0.4,0.68,1.0,1.45,2.7
Conner Henry,SG,0.73,0.35,0.37,0.73,0.97,1.21,3.5
Jeff Hornacek,SG,0.87,0.39,0.51,0.87,3.38,4.88,14.63
Myron Jackson,PG,0.88,0.0,0.22,0.88,0.4,0.8,1.4
Buck Johnson,SF,0.73,0.09,0.49,0.73,3.41,1.64,8.9
Steffond Johnson,PF,0.53,0.0,0.44,0.53,1.5,0.2,2.6
Anthony Jones,SF-SG,0.81,0.22,0.4,0.81,1.13,0.67,3.21
Tim Kempton,PF,0.44,0.0,0.32,0.44,1.72,0.68,2.4
Curtis Kitchen,PF,0.75,0.0,0.6,0.75,1.5,0.2,1.5
Larry Krystkowiak,PF,0.77,0.05,0.45,0.77,4.24,1.22,6.69
Jim Lampley,C,0.5,0.0,0.33,0.5,5.0,0.0,3.0
Fernando Martín,C,0.36,0.0,0.3,0.36,1.2,0.4,0.9
Maurice Martin,SF,0.56,0.23,0.39,0.56,0.95,0.65,2.8
Forrest McKenzie,SF,1.0,0.5,0.23,1.0,1.2,0.2,2.8
Nate McMillan,PG,0.67,0.32,0.45,0.67,3.89,5.8,5.7
Cozell McQueen,PF,0.0,0.0,1.0,0.0,2.7,0.0,2.0
Pete Myers,SG,0.66,0.08,0.43,0.66,1.71,1.83,3.96
Johnny Newman,SF,0.81,0.31,0.49,0.81,2.18,1.4,10.77
Dennis Nutt,PG,0.91,0.29,0.48,0.91,0.3,0.6,2.3
Chuck Person,SF,0.7,0.35,0.48,0.7,4.81,2.65,13.82
Dwayne Polee,SG,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Harold Pressley,SF,0.77,0.32,0.46,0.77,4.4,2.1,8.85
Mark Price,PG,0.91,0.39,0.48,0.91,2.43,6.61,14.64
Johnny Rogers,PF,0.68,0.0,0.47,0.68,1.4,0.35,3.4
Ron Rowan,SG,0.75,1.0,0.38,0.75,0.1,0.1,1.7
John Salley,C,0.71,0.07,0.48,0.71,4.19,1.22,6.33
Brad Sellers,PF,0.8,0.11,0.43,0.8,2.19,0.85,5.31
McKinley Singleton,PG,0.0,0.0,1.0,0.0,0.0,0.5,2.0
Scott Skiles,PG,0.87,0.36,0.42,0.87,2.38,5.9,9.86
Clinton Smith,SG,0.62,0.0,0.47,0.62,1.1,0.95,2.25
Keith Smith,SG,0.75,0.33,0.38,0.75,0.8,1.0,3.3
Otis Smith,SG,0.74,0.21,0.45,0.74,3.3,1.7,9.61
Roy Tarpley,PF,0.76,0.1,0.5,0.76,10.45,1.28,14.68
Billy Thompson,SF,0.58,0.08,0.38,0.58,3.73,1.15,5.97
Andre Turner,PG,0.53,0.07,0.39,0.53,1.06,1.84,2.78
Kenny Walker,SF,0.75,0.09,0.48,0.75,3.79,0.61,6.46
Chris Washburn,C,0.53,0.0,0.43,0.53,2.33,0.3,3.07
Pearl Washington,PG,0.76,0.15,0.47,0.76,1.93,3.8,8.5
Hot Rod Williams,PF,0.72,0.03,0.47,0.72,6.57,1.73,10.38
John Williams,SF,0.68,0.22,0.45,0.68,4.99,2.97,10.19
David Wingate,SG,0.58,0.19,0.47,0.58,1.6,1.66,4.9
Brad Wright,PF,0.21,0.0,0.32,0.21,2.15,0.05,2.35
Perry Young,SG,0.33,0.0,0.34,0.33,0.97,0.87,1.47
Mark Acres,C,0.65,0.43,0.47,0.65,3.75,0.37,3.38
Steve Alford,PG,0.81,0.25,0.46,0.81,0.78,1.05,3.87
Greg Anderson,PF,0.48,0.04,0.52,0.48,5.6,0.51,6.32
Joe Arlauckas,SF,0.75,0.0,0.33,0.75,1.4,0.9,3.8
Vincent Askew,SG,0.72,0.16,0.45,0.72,1.91,1.69,5.44
Nate Blackwell,PG,0.83,0.18,0.43,0.83,0.6,1.8,3.7
Muggsy Bogues,PG,0.8,0.15,0.43,0.8,2.26,6.31,6.41
Norris Coleman,SF,0.56,0.5,0.34,0.56,2.8,0.4,5.3
Dallas Comegys,PF,0.68,0.0,0.46,0.68,3.2,0.65,6.05
Winston Crite,SF,0.38,0.0,0.25,0.38,1.35,0.25,1.5
Billy Donovan,PG,0.81,0.0,0.43,0.81,0.6,2.0,2.4
Chris Dudley,C,0.42,0.0,0.38,0.42,5.46,0.42,3.61
Jim Farmer,SG,0.68,0.17,0.44,0.68,1.6,0.84,5.13
Tellis Frank,PF,0.73,0.0,0.45,0.73,3.4,0.94,5.66
Kevin Gamble,SF,0.7,0.27,0.45,0.7,1.92,1.68,7.7
Winston Garland,PG,0.83,0.29,0.43,0.83,2.82,4.59,9.04
Armen Gilliam,PF,0.77,0.0,0.48,0.77,6.89,1.15,13.85
Horace Grant,PF,0.65,0.04,0.5,0.65,7.7,2.16,10.71
Dave Henderson,SG,0.68,0.0,0.41,0.68,1.6,1.5,5.7
Dave Hoppen,C,0.7,0.05,0.52,0.7,2.66,0.41,3.38
Dennis Hopson,SG,0.64,0.21,0.46,0.64,2.4,1.36,9.23
Eddie Hughes,PG,0.75,0.3,0.49,0.75,0.77,1.3,2.57
Mark Jackson,PG,0.76,0.32,0.47,0.76,3.85,8.09,9.25
Michael Jackson,PG,0.57,0.36,0.34,0.57,0.57,1.47,1.6
Kannard Johnson,SF,0.0,0.0,0.33,0.0,0.0,0.0,0.5
Kevin Johnson,PG,0.85,0.27,0.5,0.85,3.11,8.19,15.75
Bart Kofoed,SG,0.6,0.09,0.31,0.6,0.46,1.02,1.48
Ralph Lewis,SG,0.62,0.07,0.41,0.62,1.08,0.14,1.92
Reggie Lewis,SG,0.81,0.16,0.49,0.81,4.12,2.42,16.72
Brad Lohaus,PF,0.68,0.29,0.44,0.68,2.72,1.06,5.54
Derrick McKey,SF,0.77,0.28,0.48,0.77,4.51,2.21,9.93
Andre Moore,PF-SF,0.58,0.0,0.43,0.58,1.27,0.53,2.2
Ron Moore,C,0.75,0.0,0.31,0.75,0.67,0.07,1.87
Ronnie Murphy,SF,0.64,0.25,0.29,0.64,0.6,0.3,2.0
Tod Murphy,PF,0.53,0.13,0.48,0.53,2.71,0.86,3.43
Martin Nessley,C,0.4,0.0,0.47,0.4,1.67,0.3,0.97
Ken Norman,SF,0.52,0.24,0.49,0.52,5.66,1.97,12.46
Olden Polynice,C,0.48,0.18,0.49,0.48,7.12,0.67,8.08
Richard Rellford,SF,0.75,0.0,0.62,0.75,1.8,0.3,4.0
Scott Roth,SF,0.72,0.22,0.38,0.72,1.08,0.9,3.54
Brian Rowsom,PF,0.87,0.5,0.31,0.87,2.77,0.5,4.4
Kenny Smith,PG,0.86,0.39,0.47,0.86,1.67,4.65,10.7
John Stroeder,PF,0.17,0.0,0.29,0.17,2.0,0.48,0.93
Mark Wade,PG,0.25,0.0,0.08,0.25,0.7,2.55,0.35
Milt Wagner,SG,0.86,0.28,0.44,0.86,0.6,1.35,4.3
Jamie Waller,SG,0.56,0.0,0.42,0.56,1.4,0.3,4.7
Duane Washington,SG,0.4,0.25,0.21,0.4,1.0,1.8,1.8
Chris Welp,C,0.67,0.0,0.43,0.67,2.08,0.38,3.08
Clinton Wheeler,PG,0.75,0.0,0.51,0.75,1.07,1.97,3.95
Eric White,SF,0.6,0.25,0.39,0.6,1.83,0.35,4.75
Tony White,PG,0.54,0.0,0.33,0.54,0.42,0.85,3.78
Reggie Williams,SF,0.77,0.24,0.45,0.77,3.26,1.82,9.94
Nikita Wilson,SF,0.83,0.0,0.3,0.83,0.7,0.2,1.3
Ricky Wilson,PG,0.69,0.58,0.45,0.69,0.9,2.47,4.83
Rickie Winslow,SF,0.5,0.0,0.25,0.5,1.0,0.3,1.0
Joe Wolf,C,0.64,0.1,0.36,0.64,2.71,0.73,3.22
Phil Zevenbergen,C,0.0,0.0,0.56,0.0,1.6,0.4,3.8
Randy Allen,SG,0.52,0.0,0.45,0.52,1.6,0.2,3.05
Michael Anderson,PG,0.69,0.14,0.43,0.69,2.5,4.3,5.7
Willie Anderson,SF,0.78,0.25,0.48,0.78,3.29,3.23,10.33
Ricky Berry,SG,0.79,0.41,0.47,0.79,3.1,1.3,11.0
Anthony Bowie,SG,0.81,0.33,0.49,0.81,2.29,1.74,6.58
Scott Brooks,PG,0.86,0.39,0.48,0.86,0.98,2.15,4.75
Mark Bryant,PF,0.66,0.03,0.41,0.66,3.06,0.56,4.21
Greg Butler,C,0.49,0.0,0.32,0.49,1.1,0.1,1.27
Mike Champion,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Chapman,SG,0.73,0.31,0.46,0.73,2.59,2.86,13.86
Derrick Chievous,SF,0.71,0.18,0.44,0.71,1.74,0.54,5.3
Mark Davis,SF,0.88,0.07,0.44,0.88,0.93,0.3,3.27
Vinny Del Negro,SG,0.8,0.26,0.46,0.8,2.01,2.88,7.61
Fennis Dembo,SF,0.8,0.0,0.37,0.8,0.7,0.2,1.2
Ledell Eackles,SG,0.78,0.31,0.45,0.78,2.2,1.57,10.33
Kevin Edwards,SG,0.83,0.34,0.4,0.83,2.37,2.19,9.46
Wayne Engelstad,PF,0.6,0.0,0.38,0.6,1.5,0.6,2.5
Rolando Ferreira,C,0.88,0.0,0.06,0.88,1.1,0.1,0.8
Duane Ferrell,SF,0.69,0.18,0.43,0.69,1.67,0.7,5.1
Anthony Frederick,SF,0.7,0.21,0.45,0.7,1.9,0.93,4.77
Corey Gaines,SG,0.63,0.29,0.46,0.63,0.98,3.76,3.66
Tom Garrick,SG,0.77,0.13,0.42,0.77,1.64,2.93,4.21
Ben Gillery,C,0.56,0.0,0.32,0.56,1.0,0.1,1.0
Orlando Graham,PF,0.5,0.0,0.3,0.5,1.6,0.0,1.1
Ron Grandison,PF,0.48,0.08,0.44,0.48,2.17,0.51,2.21
Gary Grant,PG,0.61,0.21,0.45,0.61,1.83,4.07,6.3
Harvey Grant,PF,0.69,0.17,0.46,0.69,4.33,1.53,9.75
Sylvester Gray,SF,0.67,0.25,0.42,0.67,5.2,2.1,8.0
Jeff Grayer,SG,0.49,0.22,0.42,0.49,2.28,1.23,5.68
Jack Haley,PF,0.68,0.0,0.4,0.68,2.3,0.21,3.27
Hersey Hawkins,SG,0.87,0.39,0.48,0.87,3.56,2.85,14.23
Tito Horford,C,0.42,0.0,0.21,0.42,1.2,0.07,1.07
Avery Johnson,PG,0.69,0.11,0.47,0.69,1.42,4.78,7.14
Bill Jones,PF,0.67,0.0,0.49,0.67,1.3,0.5,3.5
Shelton Jones,SF,0.52,0.0,0.47,0.52,1.95,0.9,4.12
Steve Kerr,PG,0.87,0.4,0.48,0.87,1.1,1.68,5.13
Randolph Keys,SF,0.75,0.22,0.46,0.75,2.56,0.79,5.83
Jerome Lane,PF,0.33,0.03,0.5,0.33,4.81,1.18,3.66
Andrew Lang,C,0.72,0.13,0.46,0.72,4.83,0.56,6.29
Eric Leckner,C,0.57,0.0,0.46,0.57,2.86,0.46,3.33
Jim Les,PG,0.79,0.22,0.35,0.79,1.03,2.66,3.39
Rob Lock,PF,0.8,0.0,0.28,0.8,1.6,0.2,1.5
Grant Long,PF,0.75,0.17,0.46,0.75,5.91,1.62,8.91
Dan Majerle,SG,0.73,0.35,0.47,0.73,4.4,2.83,10.86
Danny Manning,PF,0.72,0.17,0.5,0.72,5.18,2.41,13.94
Vernon Maxwell,SG,0.72,0.3,0.43,0.72,2.28,2.83,10.57
Todd Mitchell,SF,0.48,0.0,0.38,0.48,1.9,0.77,4.33
Chris Morris,SF,0.75,0.29,0.48,0.75,4.57,1.52,10.47
Richard Morton,PG,0.0,0.0,0.75,0.0,0.0,0.5,3.0
Craig Neal,PG,0.58,0.29,0.39,0.58,0.8,2.53,2.65
José Ortiz,PF,0.6,0.25,0.45,0.6,1.15,0.35,3.0
Will Perdue,C,0.58,0.04,0.52,0.58,4.48,0.69,4.22
Tim Perry,C,0.61,0.41,0.49,0.61,3.12,0.69,5.18
Dave Popson,PF,0.58,0.0,0.42,0.58,1.3,0.42,1.82
Dominic Pressley,PG,0.37,0.0,0.29,0.37,0.97,1.83,1.53
Ramón Rivas,C,0.64,0.0,0.4,0.64,0.9,0.1,1.4
David Rivers,PG,0.83,0.06,0.39,0.83,1.27,2.23,3.03
Rob Rose,SG,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jim Rowinski,PF-C,0.79,0.0,0.3,0.79,1.0,0.1,1.52
Rony Seikaly,C,0.66,0.11,0.45,0.66,8.31,1.2,12.98
Charles Shackleford,C,0.66,0.0,0.51,0.66,4.45,0.52,4.95
John Shasky,C,0.54,0.0,0.41,0.54,2.3,0.2,2.93
Brian Shaw,SG,0.71,0.24,0.39,0.71,3.24,3.97,6.59
Keith Smart,PG,1.0,0.0,0.0,1.0,0.5,1.0,1.0
Charles Smith,PF,0.76,0.1,0.46,0.76,5.41,1.26,12.49
Rik Smits,C,0.77,0.04,0.51,0.77,6.1,1.4,14.99
John Starks,SG,0.79,0.34,0.44,0.79,2.45,3.61,12.02
Everette Stephens,PG,0.89,0.1,0.5,0.89,0.35,0.9,1.95
Rod Strickland,PG,0.72,0.24,0.44,0.72,3.41,6.56,11.49
Barry Sumpter,PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Taylor,PG,0.75,0.0,0.4,0.75,1.6,2.0,6.9
Tom Tolbert,SF,0.71,0.22,0.46,0.71,3.19,0.74,5.1
Kelvin Upshaw,SG,0.64,0.22,0.46,0.64,1.09,2.05,4.76
Morlon Wiley,PG,0.47,0.3,0.47,0.47,1.04,2.13,3.07
Micheal Williams,PG,0.74,0.12,0.39,0.74,1.73,3.76,7.21
David Wood,PF,0.72,0.27,0.43,0.72,1.95,0.53,2.88
Nick Anderson,SG,0.58,0.32,0.45,0.58,4.72,2.35,13.12
Michael Ansley,SF,0.62,0.0,0.47,0.62,2.18,0.3,4.28
B.J. Armstrong,PG,0.85,0.39,0.48,0.85,1.63,2.86,7.76
Dana Barros,PG,0.86,0.38,0.5,0.86,1.75,3.01,9.89
Kenny Battle,SG,0.78,0.06,0.58,0.78,2.29,0.66,4.14
Winston Bennett,SF,0.56,0.0,0.42,0.56,2.48,0.68,3.74
Mookie Blaylock,PG,0.72,0.31,0.44,0.72,3.98,6.45,12.9
Chucky Brown,SF,0.68,0.1,0.51,0.68,2.56,0.67,4.77
Raymond Brown,PF,0.0,0.0,0.29,0.0,0.9,0.3,1.0
Stanley Brundy,SF,0.39,0.0,0.5,0.39,1.6,0.2,2.3
Torgeir Bryn,C,0.67,0.0,0.0,0.67,0.7,0.0,1.3
Steve Bucknall,SG,0.83,0.0,0.28,0.83,0.4,0.6,1.3
Adrian Caldwell,PF,0.4,0.0,0.38,0.4,2.38,0.16,1.64
Lanard Copeland,SG,0.89,0.1,0.4,0.89,0.55,0.45,2.4
Terry Davis,PF,0.6,0.07,0.48,0.6,5.32,0.53,5.42
Byron Dinkins,PG,0.66,0.03,0.56,0.66,0.95,1.45,2.73
Sherman Douglas,PG,0.69,0.2,0.5,0.69,2.03,5.19,10.05
Terry Dozier,SF,0.5,0.0,0.35,0.5,1.7,0.3,2.4
Blue Edwards,SF,0.78,0.32,0.49,0.78,2.99,1.8,9.53
Jay Edwards,SG,0.33,0.0,0.6,0.33,0.5,1.0,1.8
Sean Elliott,SF,0.79,0.33,0.46,0.79,4.16,2.45,13.24
Pervis Ellison,C,0.7,0.03,0.47,0.7,5.62,1.25,7.56
Derrick Gervin,PF,0.76,0.12,0.45,0.76,2.55,0.45,9.8
Greg Grant,PG,0.61,0.26,0.36,0.61,0.88,2.72,2.48
Scott Haffner,PG,0.59,0.07,0.43,0.59,0.9,1.6,3.5
Tom Hammonds,PF,0.65,0.0,0.46,0.65,2.96,0.51,4.98
Tim Hardaway,PG,0.76,0.35,0.44,0.76,2.97,7.46,15.75
Mike Higgins,SF,0.69,0.0,0.34,0.69,0.48,0.3,1.6
Ed Horton,PF,0.61,0.0,0.51,0.61,2.4,0.4,4.5
Byron Irvin,SG,0.66,0.52,0.48,0.66,1.3,0.7,5.3
Jaren Jackson,SG,0.68,0.24,0.39,0.68,1.57,0.88,4.4
Eric Johnson,PG,0.77,0.17,0.24,0.77,0.6,1.3,1.1
Nate Johnston,PF-SF,0.78,0.42,0.37,0.78,0.93,0.03,2.1
Shawn Kemp,PF,0.75,0.22,0.48,0.75,8.39,1.64,14.69
Stan Kimbrough,PG,0.5,0.25,0.34,0.5,0.35,0.4,1.65
Stacey King,PF,0.59,0.06,0.48,0.59,3.34,0.7,5.53
Frank Kornet,PF,0.58,0.26,0.4,0.58,1.0,0.35,1.9
