name surname,position,fg_pct,fg3_pct,fg2_pct,ft_pct,rebounds,asists,points_per_game
Brian Winters,SG,0.84,0.36,0.49,0.84,2.38,3.65,13.57
Larry Wright,PG,0.56,0.18,0.31,0.56,1.2,2.1,4.9
Tony Zeno,SF,1.0,0.0,0.29,1.0,1.8,0.1,1.8
Darrell Allums,PF,0.59,0.0,0.35,0.59,3.0,1.1,2.7
Mel Bennett,PF,0.41,0.0,0.47,0.41,2.15,0.25,2.75
Norman Black,SG,0.25,0.0,0.3,0.25,0.7,0.7,2.7
Dave Britton,PG,0.0,0.0,0.67,0.0,1.0,1.5,2.0
Michael Brooks,SF,0.72,0.06,0.45,0.72,5.38,2.07,9.97
Lewis Brown,C,0.4,0.0,0.0,0.4,1.0,0.0,1.0
Rickey Brown,C,0.66,0.0,0.47,0.66,3.5,0.34,4.5
Joe Barry Carroll,C,0.77,0.0,0.45,0.77,6.9,1.61,15.09
Butch Carter,SF,0.83,0.19,0.41,0.83,1.12,1.34,6.29
Reggie Carter,SG,0.77,0.0,0.38,0.77,1.25,1.5,3.4
Art Collins,SG,0.67,0.0,0.36,0.67,1.4,0.9,3.2
Don Collins,SF,0.76,0.04,0.45,0.76,2.71,1.6,8.76
Darwin Cook,SG,0.78,0.19,0.47,0.78,2.0,3.25,9.05
Geoff Crompton,C,0.43,0.0,0.35,0.43,2.23,0.33,1.3
Earl Cureton,C,0.47,0.0,0.44,0.47,4.61,0.91,4.83
Monti Davis,PF,0.13,0.0,0.4,0.13,2.0,0.0,1.5
Ron Davis,SF,0.55,0.12,0.42,0.55,1.9,0.65,4.55
James Donaldson,C,0.74,0.0,0.54,0.74,7.25,0.73,7.59
Jacky Dorsey,SF,0.52,0.0,0.29,0.52,3.0,0.3,1.8
Larry Drew,PG,0.79,0.28,0.47,0.79,1.74,5.12,11.15
Ralph Drollinger,C,0.25,0.0,0.5,0.25,3.2,2.3,2.5
John Duren,PG,0.69,0.09,0.42,0.69,1.1,1.93,3.23
Tony Fuller,SG,0.75,0.0,0.37,0.75,2.8,1.9,4.0
Calvin Garrett,SF,0.81,0.24,0.45,0.81,2.27,1.25,4.42
Mike Gminski,C,0.83,0.05,0.44,0.83,6.4,1.13,10.42
Rickey Green,PG,0.83,0.19,0.48,0.83,1.79,5.26,8.71
Darrell Griffith,SG,0.7,0.31,0.48,0.7,3.24,2.12,15.99
Bill Hanzlik,SF,0.78,0.17,0.45,0.78,2.74,2.73,7.16
Alan Hardy,SG,0.66,0.0,0.42,0.66,0.9,0.3,3.0
Mike Harper,PF,0.53,0.0,0.46,0.53,3.35,0.55,4.75
Keith Herron,SG,0.86,0.09,0.41,0.86,1.65,1.35,8.25
Kenny Higgs,PG,0.82,0.15,0.45,0.82,1.95,5.45,7.65
Cedrick Hordges,PF,0.64,0.12,0.48,0.64,5.9,1.15,7.6
Tony Jackson,PG,0.0,0.0,0.33,0.0,1.0,1.0,1.0
Lee Johnson,PF,0.4,0.0,0.19,0.4,1.6,0.07,1.03
Reggie Johnson,PF,0.74,0.06,0.51,0.74,4.58,0.92,8.88
Edgar Jones,PF,0.72,0.17,0.51,0.72,4.72,0.87,8.63
Walter Jordan,SF,0.59,0.0,0.39,0.59,1.4,0.4,2.3
Clarence Kea,PF,0.69,0.0,0.5,0.69,2.95,0.35,4.8
Chad Kinch,SG,0.78,0.0,0.36,0.78,0.8,1.03,2.97
Wayne Kreklow,SG,0.7,0.25,0.23,0.7,0.5,0.4,1.2
Bill Laimbeer,C,0.84,0.27,0.51,0.84,9.3,1.92,12.32
Edmund Lawrence,C,0.5,0.0,0.62,0.5,1.3,0.3,4.0
Ronnie Lester,PG,0.8,0.12,0.46,0.8,1.42,3.2,5.7
Scott Lloyd,C,0.71,0.17,0.4,0.71,3.87,1.5,5.33
Kyle Macy,PG,0.86,0.32,0.52,0.86,2.23,4.03,9.54
Rick Mahorn,PF,0.69,0.08,0.47,0.69,5.5,0.83,6.08
Wes Matthews,PG,0.79,0.17,0.49,0.79,1.27,4.25,8.03
Bill Mayfield,SF,0.5,0.0,0.44,0.5,1.3,0.1,2.4
Andre McCarter,PG,0.75,0.25,0.39,0.75,0.9,1.7,2.8
Keith McCord,SG,0.0,0.0,0.5,0.0,1.0,0.5,2.0
Dick Miller,SF,0.0,0.0,0.52,0.0,0.9,0.57,1.03
Johnny Moore,PG,0.51,0.15,0.43,0.51,2.47,5.88,7.21
Lowes Moore,PG,0.75,0.2,0.49,0.75,1.63,3.0,8.0
Kenny Natt,SG,0.46,0.05,0.32,0.46,0.6,0.6,1.86
Carl Nicks,PG,0.58,0.0,0.47,0.58,1.96,1.84,6.6
Mike Niles,SF,0.46,0.5,0.34,0.46,1.3,0.3,2.6
Mike O\'Koren,SF,0.49,0.21,0.5,0.49,2.82,1.79,7.13
Jawann Oldham,C,0.46,0.0,0.47,0.46,3.08,0.3,3.11
Louis Orr,SF,0.75,0.05,0.45,0.75,3.51,1.41,9.04
Myles Patrick,SF,0.5,0.0,0.4,0.5,0.7,0.3,1.7
Tony Price,SG,0.0,0.0,0.29,0.0,0.0,0.6,0.8
Wally Rank,SF,0.46,0.0,0.37,0.46,1.2,0.7,2.2
Kelvin Ransey,PG,0.79,0.14,0.46,0.79,1.9,5.22,11.37
James Ray,PF,0.64,0.33,0.4,0.64,2.17,0.73,3.0
Billy Reid,SG,0.56,0.0,0.47,0.56,1.0,1.2,3.2
Wayne Robinson,PF,0.73,0.0,0.47,0.73,3.6,1.4,7.9
Lorenzo Romar,PG,0.69,0.12,0.4,0.69,0.79,2.32,3.91
Frankie Sanders,SF,0.91,0.0,0.44,0.91,0.9,0.7,3.8
DeWayne Scales,PF,0.39,0.06,0.41,0.39,2.07,0.07,2.97
Craig Shelton,SF,0.55,0.0,0.4,0.55,1.65,0.25,2.8
Jerry Sichting,PG,0.82,0.25,0.47,0.82,1.04,2.78,5.47
Larry Smith,PF,0.46,0.0,0.52,0.46,9.04,1.05,6.49
Rory Sparrow,PG,0.67,0.21,0.42,0.67,1.78,4.08,7.49
John Stroud,SF,0.75,0.0,0.32,0.75,1.4,1.0,2.8
Carlos Terry,SG,0.69,0.0,0.38,0.69,2.4,1.37,3.17
Mychal Thompson,C,0.68,0.12,0.5,0.68,6.95,2.1,13.15
Andrew Toney,SG,0.74,0.3,0.48,0.74,1.92,3.89,13.67
Ronnie Valentine,SF,0.47,0.5,0.38,0.47,1.3,0.3,3.5
Kiki Vandeweghe,SF,0.87,0.32,0.51,0.87,3.01,1.91,17.25
Brett Vroman,C,0.74,0.0,0.39,0.74,2.3,0.8,3.1
Hawkeye Whitney,SG,0.67,0.17,0.42,0.67,2.0,1.1,4.85
Michael Wiley,PF,0.72,0.0,0.57,0.72,2.45,0.6,7.0
James Wilkes,SF,0.74,0.0,0.43,0.74,2.3,0.93,4.47
Jeff Wilkins,C,0.7,0.0,0.44,0.7,5.16,0.9,6.92
Mike Woodson,SG,0.81,0.21,0.44,0.81,2.06,2.08,12.01
Sam Worthen,PG,0.38,0.0,0.45,0.38,1.0,1.2,2.25
Mark Aguirre,SF,0.73,0.31,0.49,0.73,4.81,3.12,19.19
Danny Ainge,SG,0.84,0.35,0.5,0.84,2.73,4.19,12.14
Carl Bailey,C,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Gene Banks,SF,0.73,0.08,0.55,0.73,5.78,2.85,11.28
Rolando Blackman,SG,0.84,0.27,0.49,0.84,3.28,3.01,17.58
Ray Blume,SG,0.64,0.22,0.48,0.64,0.8,1.4,4.6
Alex Bradley,SF,0.6,0.0,0.53,0.6,1.7,0.3,3.5
Charles Bradley,SG,0.63,0.0,0.43,0.63,0.87,0.5,2.67
Brad Branson,PF,0.81,0.0,0.42,0.81,3.05,0.65,5.4
Jim Brogan,SG,0.76,0.26,0.45,0.76,1.5,1.8,5.05
Roger Burkman,SG,0.83,0.0,0.0,0.83,1.0,0.8,0.8
David Burns,PG,0.59,0.0,0.43,0.59,0.6,1.6,2.53
Bobby Cattage,PF,0.76,0.1,0.4,0.76,1.35,0.1,3.15
Tom Chambers,PF,0.81,0.25,0.49,0.81,5.52,1.84,16.43
Joe Cooper,C,0.36,0.0,0.47,0.36,3.07,0.53,3.63
Charles Davis,SF,0.69,0.11,0.43,0.69,2.13,0.74,4.79
Kenny Dennard,PF,0.65,0.1,0.4,0.65,3.03,0.9,2.8
Mickey Dillard,PG,0.65,0.0,0.39,0.65,0.5,1.0,2.2
John Douglas,SG,0.83,0.4,0.25,0.83,0.85,1.3,4.35
Craig Dykema,SF,0.78,0.5,0.46,0.78,0.4,0.5,1.3
Franklin Edwards,PG,0.76,0.02,0.45,0.76,1.03,2.94,5.74
Pétur Guðmundsson,C,0.73,0.25,0.47,0.73,3.85,0.88,5.1
Glenn Hagan,PG,1.0,0.0,0.43,1.0,1.0,2.0,1.8
Steve Hayes,C,0.5,0.0,0.49,0.5,2.63,0.46,2.79
Tracy Jackson,SG,0.79,0.03,0.41,0.79,1.3,0.6,4.04
Clay Johnson,SG,0.64,0.33,0.45,0.64,1.2,0.7,2.93
Eddie Johnson,SF,0.79,0.29,0.48,0.79,3.63,1.81,14.43
Frank Johnson,PG,0.76,0.16,0.46,0.76,1.73,4.12,8.63
Steve Johnson,C,0.57,0.0,0.52,0.57,4.6,1.06,9.51
Albert King,SF,0.8,0.23,0.45,0.8,3.88,1.98,11.1
Jeff Lamp,SF,0.85,0.19,0.41,0.85,1.56,0.95,5.24
Rock Lee,C,0.0,0.0,0.5,0.0,0.5,1.0,1.0
Alton Lister,C,0.58,0.03,0.5,0.58,5.25,0.77,5.18
Lewis Lloyd,SG,0.62,0.12,0.54,0.62,2.03,1.9,9.0
Kevin Loder,SF,0.55,0.24,0.37,0.55,1.6,1.0,4.24
Rudy Macklin,SF,0.8,0.0,0.44,0.8,2.43,0.67,5.8
John McCullough,SG,0.6,0.0,0.69,0.6,0.5,0.4,2.6
Hank McDowell,PF,0.74,0.0,0.47,0.74,2.23,0.42,2.88
Mike McGee,SF,0.6,0.28,0.5,0.6,2.15,1.2,8.97
Kevin McKenna,SG,0.82,0.28,0.42,0.82,1.28,1.35,5.17
Larry Nance,PF,0.76,0.2,0.54,0.76,8.13,2.65,17.16
Kurt Nimphius,C,0.66,0.1,0.48,0.66,4.09,0.95,6.56
Mark Radford,SG,0.46,0.44,0.53,0.46,0.8,1.6,3.55
Ed Rains,SF,0.63,0.0,0.42,0.63,1.45,0.7,3.35
Kurt Rambis,PF,0.67,0.0,0.53,0.67,5.16,1.04,4.81
Jeff Ruland,C,0.69,0.1,0.56,0.69,8.15,2.6,13.54
Danny Schayes,C,0.8,0.06,0.44,0.8,4.58,1.08,6.85
Jim Smith,PF,0.48,0.0,0.63,0.48,1.9,0.3,2.45
Larry Spriggs,SF,0.6,0.0,0.52,0.6,1.8,1.0,4.16
Kevin Stacom,SG,0.5,0.5,0.41,0.5,1.0,1.0,4.3
Ray Tolbert,PF,0.56,0.0,0.5,0.56,2.44,0.54,3.79
Kelly Tripucka,SF,0.86,0.34,0.48,0.86,3.8,2.95,17.13
Elston Turner,SF,0.69,0.17,0.41,0.69,2.48,1.66,4.22
Darnell Valentine,PG,0.78,0.18,0.44,0.78,2.14,4.89,8.69
Pete Verhoeven,PF,0.58,0.08,0.48,0.58,2.03,0.52,3.23
Jay Vincent,PF,0.75,0.22,0.45,0.75,4.31,1.45,11.7
Danny Vranes,SF,0.53,0.06,0.49,0.53,3.79,1.13,4.9
Buck Williams,PF,0.67,0.14,0.55,0.67,9.76,1.24,12.58
Herb Williams,C,0.64,0.06,0.45,0.64,5.33,1.33,8.87
Sam Williams,PF,0.67,0.0,0.48,0.67,3.95,0.57,5.8
Garry Witts,SF,0.82,0.5,0.58,0.82,1.3,0.8,2.9
Al Wood,SG,0.78,0.17,0.46,0.78,2.88,1.54,10.65
Howard Wood,SF,0.65,0.0,0.46,0.65,1.5,0.2,3.4
Orlando Woolridge,SF,0.73,0.07,0.51,0.73,4.12,1.91,15.23
Rich Yonakor,PF,0.71,0.0,0.54,0.71,2.7,0.3,3.3
Dwight Anderson,PG,0.7,0.0,0.5,0.7,0.4,0.6,4.2
J.J. Anderson,SF,0.5,0.0,0.45,0.5,2.8,0.68,4.7
Richard Anderson,C,0.77,0.32,0.44,0.77,3.24,1.31,5.19
John Bagley,PG,0.8,0.14,0.41,0.8,2.19,5.17,7.35
Dave Batton,C,0.24,0.0,0.48,0.24,1.6,0.65,2.9
Lester Conner,PG,0.76,0.08,0.42,0.76,2.16,3.04,4.93
Chubby Cox,SG,0.5,0.0,0.37,0.5,1.4,0.9,4.1
Terry Cummings,PF,0.69,0.17,0.47,0.69,6.53,1.6,14.15
Quintin Dailey,SG,0.77,0.11,0.43,0.77,2.17,1.85,12.28
Mike Davis,PF,0.6,0.0,0.4,0.6,1.3,0.0,1.8
Mark Eaton,C,0.65,0.0,0.47,0.65,7.85,0.95,5.91
